,restriction,modality,chunk_size,seed,acc,pyr_acc,in_acc,auc,fpr,tpr,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16,feature 17,feature 18,feature 19,feature 20,feature 21,feature 22,feature 23,feature 24,feature 25,feature 26,feature 27,feature 28,feature 29
0,complete,spatial,0.0,0,85.57692307692308,96.3855421686747,42.857142857142854,0.8238668961560528,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.04761905 0.0952381  0.14285714 0.14285714
 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714 0.14285714 0.14285714 0.19047619 0.19047619 0.19047619
 0.19047619 0.19047619 0.19047619 0.19047619 0.19047619 0.19047619
 0.19047619 0.19047619 0.19047619 0.19047619 0.19047619 0.19047619
 0.19047619 0.19047619 0.19047619 0.19047619 0.19047619 0.19047619
 0.23809524 0.23809524 0.23809524 0.23809524 0.23809524 0.23809524
 0.23809524 0.23809524 0.28571429 0.28571429 0.28571429 0.28571429
 0.28571429 0.33333333 0.33333333 0.33333333 0.33333333 0.38095238
 0.42857143 0.42857143 0.47619048 0.52380952 0.52380952 0.52380952
 0.52380952 0.57142857 0.57142857 0.57142857 0.57142857 0.61904762
 0.66666667 0.71428571 0.76190476 0.80952381 0.85714286 0.9047619
 0.95238095 1.         1.        ]","[0.         0.01204819 0.02409639 0.03614458 0.04819277 0.06024096
 0.07228916 0.08433735 0.09638554 0.10843373 0.12048193 0.13253012
 0.14457831 0.15662651 0.1686747  0.18072289 0.19277108 0.20481928
 0.21686747 0.22891566 0.24096386 0.25301205 0.26506024 0.27710843
 0.28915663 0.30120482 0.30120482 0.30120482 0.30120482 0.31325301
 0.3253012  0.3373494  0.34939759 0.36144578 0.37349398 0.38554217
 0.39759036 0.40963855 0.42168675 0.43373494 0.44578313 0.45783133
 0.46987952 0.48192771 0.4939759  0.4939759  0.5060241  0.51807229
 0.53012048 0.54216867 0.55421687 0.56626506 0.57831325 0.59036145
 0.60240964 0.61445783 0.62650602 0.63855422 0.65060241 0.6626506
 0.6746988  0.68674699 0.69879518 0.71084337 0.72289157 0.73493976
 0.73493976 0.74698795 0.75903614 0.77108434 0.78313253 0.79518072
 0.80722892 0.81927711 0.81927711 0.8313253  0.84337349 0.85542169
 0.86746988 0.86746988 0.87951807 0.89156627 0.90361446 0.90361446
 0.90361446 0.91566265 0.91566265 0.91566265 0.92771084 0.93975904
 0.95180723 0.95180723 0.96385542 0.97590361 0.98795181 0.98795181
 0.98795181 0.98795181 0.98795181 0.98795181 0.98795181 0.98795181
 0.98795181 0.98795181 1.        ]",0.03362913604348305,0.07572051402311067,0.05487778202124854,0.04927971350892029,0.05200959160268771,0.05708472994937355,0.04407933442339271,0.08398499797931563,0.09937973254879505,0.16937893974168658,0.1498753466337265,0.055368905175139205,0.0753312763491203,,,,,,,,,,,,,,,,
1,complete,spatial,500.0,0,81.73076923076923,89.1566265060241,52.38095238095238,0.8221457257601835,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.04761905 0.04761905 0.04761905 0.04761905 0.04761905 0.04761905
 0.04761905 0.04761905 0.04761905 0.04761905 0.04761905 0.04761905
 0.04761905 0.04761905 0.04761905 0.04761905 0.04761905 0.04761905
 0.04761905 0.0952381  0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.19047619 0.19047619 0.23809524 0.23809524 0.23809524 0.23809524
 0.23809524 0.23809524 0.23809524 0.23809524 0.23809524 0.23809524
 0.23809524 0.28571429 0.33333333 0.33333333 0.33333333 0.33333333
 0.38095238 0.42857143 0.42857143 0.47619048 0.47619048 0.47619048
 0.47619048 0.52380952 0.57142857 0.57142857 0.61904762 0.61904762
 0.61904762 0.61904762 0.61904762 0.66666667 0.66666667 0.71428571
 0.76190476 0.80952381 0.80952381 0.85714286 0.9047619  0.9047619
 0.9047619  0.95238095 1.        ]","[0.         0.01204819 0.02409639 0.03614458 0.04819277 0.06024096
 0.07228916 0.08433735 0.09638554 0.10843373 0.12048193 0.13253012
 0.14457831 0.15662651 0.1686747  0.18072289 0.19277108 0.20481928
 0.21686747 0.22891566 0.24096386 0.25301205 0.26506024 0.27710843
 0.27710843 0.28915663 0.30120482 0.31325301 0.3253012  0.3373494
 0.34939759 0.36144578 0.37349398 0.38554217 0.39759036 0.40963855
 0.42168675 0.43373494 0.44578313 0.45783133 0.46987952 0.48192771
 0.4939759  0.4939759  0.4939759  0.5060241  0.51807229 0.53012048
 0.54216867 0.55421687 0.56626506 0.57831325 0.59036145 0.60240964
 0.61445783 0.62650602 0.63855422 0.65060241 0.6626506  0.6746988
 0.6746988  0.68674699 0.68674699 0.69879518 0.71084337 0.72289157
 0.73493976 0.74698795 0.75903614 0.77108434 0.78313253 0.79518072
 0.80722892 0.80722892 0.80722892 0.81927711 0.8313253  0.84337349
 0.84337349 0.84337349 0.85542169 0.85542169 0.86746988 0.87951807
 0.89156627 0.89156627 0.89156627 0.90361446 0.90361446 0.91566265
 0.92771084 0.93975904 0.95180723 0.95180723 0.96385542 0.96385542
 0.96385542 0.96385542 0.97590361 0.97590361 0.97590361 0.98795181
 1.         1.         1.        ]",0.04708529834581779,0.11560247438255257,0.025701002198503405,0.020670771039246985,0.0457798849810821,0.04851232100794219,0.05337989440568277,0.09329203209096554,0.09709430755458862,0.14612835918760742,0.13414477835325792,0.06222514058847137,0.11038373586428127,,,,,,,,,,,,,,,,
2,complete,spatial,200.0,0,83.65384615384616,89.1566265060241,61.904761904761905,0.8376362593230063,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.04761905 0.04761905 0.04761905
 0.04761905 0.04761905 0.04761905 0.04761905 0.04761905 0.04761905
 0.04761905 0.04761905 0.04761905 0.04761905 0.04761905 0.04761905
 0.04761905 0.04761905 0.0952381  0.0952381  0.0952381  0.0952381
 0.0952381  0.0952381  0.0952381  0.0952381  0.0952381  0.0952381
 0.0952381  0.0952381  0.0952381  0.0952381  0.0952381  0.0952381
 0.0952381  0.14285714 0.19047619 0.23809524 0.23809524 0.23809524
 0.23809524 0.28571429 0.28571429 0.28571429 0.28571429 0.33333333
 0.33333333 0.33333333 0.33333333 0.33333333 0.38095238 0.38095238
 0.38095238 0.38095238 0.38095238 0.38095238 0.38095238 0.42857143
 0.47619048 0.47619048 0.47619048 0.52380952 0.57142857 0.57142857
 0.61904762 0.61904762 0.66666667 0.66666667 0.66666667 0.71428571
 0.71428571 0.76190476 0.80952381 0.85714286 0.9047619  0.9047619
 0.9047619  0.95238095 1.        ]","[0.         0.01204819 0.02409639 0.03614458 0.04819277 0.06024096
 0.07228916 0.08433735 0.09638554 0.10843373 0.12048193 0.13253012
 0.14457831 0.15662651 0.1686747  0.18072289 0.19277108 0.20481928
 0.21686747 0.22891566 0.24096386 0.25301205 0.26506024 0.27710843
 0.28915663 0.30120482 0.31325301 0.31325301 0.3253012  0.3373494
 0.34939759 0.36144578 0.37349398 0.38554217 0.39759036 0.40963855
 0.42168675 0.43373494 0.44578313 0.45783133 0.46987952 0.48192771
 0.4939759  0.5060241  0.5060241  0.51807229 0.53012048 0.54216867
 0.55421687 0.56626506 0.57831325 0.59036145 0.60240964 0.61445783
 0.62650602 0.63855422 0.65060241 0.6626506  0.6746988  0.68674699
 0.69879518 0.69879518 0.69879518 0.69879518 0.71084337 0.72289157
 0.73493976 0.73493976 0.74698795 0.75903614 0.77108434 0.77108434
 0.78313253 0.79518072 0.80722892 0.81927711 0.81927711 0.8313253
 0.84337349 0.85542169 0.86746988 0.87951807 0.89156627 0.89156627
 0.89156627 0.90361446 0.91566265 0.91566265 0.91566265 0.92771084
 0.92771084 0.93975904 0.93975904 0.95180723 0.96385542 0.96385542
 0.97590361 0.97590361 0.97590361 0.97590361 0.97590361 0.98795181
 1.         1.         1.        ]",0.057872002083005934,0.12190029939065702,0.02988849895834471,0.016223087227844532,0.04718815419720175,0.04946368066469493,0.05613839459061077,0.0834808252506188,0.08912105894322568,0.14868369085561142,0.13110621688143734,0.06757698564572276,0.10135710531102442,,,,,,,,,,,,,,,,
3,complete,spatial,0.0,1,86.53846153846153,95.18072289156626,52.38095238095238,0.8714859437751005,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.04761905 0.04761905 0.04761905
 0.04761905 0.04761905 0.0952381  0.0952381  0.14285714 0.14285714
 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714 0.14285714 0.14285714 0.14285714 0.19047619 0.19047619
 0.19047619 0.23809524 0.23809524 0.23809524 0.28571429 0.28571429
 0.28571429 0.28571429 0.28571429 0.28571429 0.28571429 0.28571429
 0.28571429 0.28571429 0.33333333 0.38095238 0.38095238 0.38095238
 0.38095238 0.42857143 0.42857143 0.42857143 0.42857143 0.47619048
 0.47619048 0.47619048 0.52380952 0.57142857 0.61904762 0.66666667
 0.71428571 0.76190476 0.80952381 0.85714286 0.9047619  0.95238095
 1.         1.         1.        ]","[0.         0.01204819 0.02409639 0.03614458 0.04819277 0.06024096
 0.07228916 0.08433735 0.09638554 0.10843373 0.12048193 0.13253012
 0.14457831 0.15662651 0.1686747  0.18072289 0.19277108 0.20481928
 0.21686747 0.22891566 0.24096386 0.25301205 0.26506024 0.27710843
 0.28915663 0.30120482 0.31325301 0.3253012  0.3373494  0.34939759
 0.36144578 0.37349398 0.38554217 0.39759036 0.40963855 0.42168675
 0.43373494 0.44578313 0.45783133 0.46987952 0.48192771 0.4939759
 0.5060241  0.51807229 0.53012048 0.53012048 0.54216867 0.55421687
 0.56626506 0.57831325 0.57831325 0.59036145 0.59036145 0.60240964
 0.61445783 0.62650602 0.63855422 0.65060241 0.6626506  0.6746988
 0.68674699 0.69879518 0.71084337 0.72289157 0.72289157 0.73493976
 0.74698795 0.74698795 0.75903614 0.77108434 0.77108434 0.78313253
 0.79518072 0.80722892 0.81927711 0.8313253  0.84337349 0.85542169
 0.86746988 0.87951807 0.87951807 0.87951807 0.89156627 0.90361446
 0.91566265 0.91566265 0.92771084 0.93975904 0.95180723 0.95180723
 0.96385542 0.97590361 0.97590361 0.97590361 0.97590361 0.97590361
 0.97590361 0.97590361 0.97590361 0.97590361 0.97590361 0.97590361
 0.97590361 0.98795181 1.        ]",0.024111563641026748,0.08348239128279651,0.06283261439125216,0.050475882008315806,0.06794599753632631,0.05355417764287023,0.03945671183385195,0.06758601754731403,0.09903075110694408,0.18669768913810678,0.1551691026912078,0.04637731148226531,0.06327978969772234,,,,,,,,,,,,,,,,
4,complete,spatial,500.0,1,86.53846153846153,92.7710843373494,61.904761904761905,0.9013195639701664,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.04761905 0.04761905 0.04761905
 0.04761905 0.04761905 0.04761905 0.04761905 0.04761905 0.04761905
 0.04761905 0.04761905 0.04761905 0.04761905 0.04761905 0.0952381
 0.0952381  0.14285714 0.14285714 0.14285714 0.19047619 0.19047619
 0.23809524 0.23809524 0.23809524 0.23809524 0.23809524 0.23809524
 0.23809524 0.28571429 0.33333333 0.38095238 0.38095238 0.38095238
 0.38095238 0.38095238 0.42857143 0.42857143 0.47619048 0.52380952
 0.57142857 0.57142857 0.57142857 0.61904762 0.66666667 0.66666667
 0.71428571 0.76190476 0.80952381 0.85714286 0.9047619  0.9047619
 0.9047619  0.95238095 1.        ]","[0.         0.01204819 0.02409639 0.03614458 0.04819277 0.06024096
 0.07228916 0.08433735 0.09638554 0.10843373 0.12048193 0.13253012
 0.14457831 0.15662651 0.1686747  0.18072289 0.19277108 0.20481928
 0.21686747 0.22891566 0.24096386 0.25301205 0.26506024 0.27710843
 0.28915663 0.30120482 0.31325301 0.3253012  0.3373494  0.34939759
 0.36144578 0.37349398 0.38554217 0.39759036 0.40963855 0.42168675
 0.43373494 0.44578313 0.45783133 0.46987952 0.48192771 0.4939759
 0.5060241  0.51807229 0.53012048 0.54216867 0.55421687 0.56626506
 0.57831325 0.59036145 0.60240964 0.60240964 0.61445783 0.62650602
 0.63855422 0.65060241 0.6626506  0.6746988  0.68674699 0.69879518
 0.71084337 0.72289157 0.73493976 0.74698795 0.75903614 0.75903614
 0.77108434 0.77108434 0.78313253 0.79518072 0.79518072 0.80722892
 0.80722892 0.81927711 0.8313253  0.84337349 0.85542169 0.86746988
 0.87951807 0.87951807 0.87951807 0.87951807 0.89156627 0.90361446
 0.91566265 0.92771084 0.92771084 0.93975904 0.93975904 0.93975904
 0.93975904 0.95180723 0.96385542 0.96385542 0.96385542 0.97590361
 0.97590361 0.97590361 0.97590361 0.97590361 0.97590361 0.98795181
 1.         1.         1.        ]",0.0431479431916054,0.1241612935429812,0.03241430768745742,0.02223043126764622,0.04475604154760556,0.0571415892690157,0.056055828421307984,0.08213744933368965,0.10292482298685869,0.14623168660256355,0.13130703269140656,0.06412667225245688,0.0933649012054052,,,,,,,,,,,,,,,,
5,complete,spatial,200.0,1,82.6923076923077,87.95180722891567,61.904761904761905,0.8835341365461848,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.04761905 0.04761905
 0.04761905 0.04761905 0.04761905 0.04761905 0.04761905 0.04761905
 0.0952381  0.0952381  0.0952381  0.0952381  0.0952381  0.0952381
 0.0952381  0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714 0.14285714 0.19047619 0.19047619 0.19047619 0.19047619
 0.23809524 0.28571429 0.28571429 0.28571429 0.28571429 0.33333333
 0.33333333 0.38095238 0.38095238 0.38095238 0.38095238 0.42857143
 0.42857143 0.42857143 0.42857143 0.42857143 0.42857143 0.47619048
 0.47619048 0.52380952 0.57142857 0.61904762 0.61904762 0.66666667
 0.71428571 0.76190476 0.80952381 0.85714286 0.85714286 0.9047619
 0.9047619  0.95238095 1.        ]","[0.         0.01204819 0.02409639 0.03614458 0.04819277 0.06024096
 0.07228916 0.08433735 0.09638554 0.10843373 0.12048193 0.13253012
 0.14457831 0.15662651 0.1686747  0.18072289 0.19277108 0.20481928
 0.21686747 0.22891566 0.24096386 0.25301205 0.26506024 0.27710843
 0.28915663 0.30120482 0.31325301 0.3253012  0.3373494  0.34939759
 0.36144578 0.37349398 0.38554217 0.39759036 0.40963855 0.42168675
 0.43373494 0.44578313 0.45783133 0.46987952 0.48192771 0.4939759
 0.5060241  0.51807229 0.53012048 0.54216867 0.54216867 0.55421687
 0.56626506 0.57831325 0.59036145 0.60240964 0.61445783 0.62650602
 0.62650602 0.63855422 0.65060241 0.6626506  0.6746988  0.68674699
 0.69879518 0.69879518 0.71084337 0.72289157 0.73493976 0.74698795
 0.75903614 0.77108434 0.77108434 0.78313253 0.79518072 0.80722892
 0.80722892 0.80722892 0.81927711 0.8313253  0.84337349 0.84337349
 0.85542169 0.85542169 0.86746988 0.87951807 0.89156627 0.89156627
 0.90361446 0.91566265 0.92771084 0.93975904 0.95180723 0.95180723
 0.96385542 0.96385542 0.96385542 0.96385542 0.97590361 0.97590361
 0.97590361 0.97590361 0.97590361 0.97590361 0.98795181 0.98795181
 1.         1.         1.        ]",0.046135423966433074,0.13707448482544463,0.03606169757090757,0.01787335757769262,0.0454732012869491,0.05044084442161448,0.04951617426230146,0.07649934580520072,0.09629179212016453,0.14445025772845102,0.13698445868531953,0.07044958903282865,0.09274937271669252,,,,,,,,,,,,,,,,
